epoch_idx	nce_loss
1	4.8998494
2	4.425066
3	3.7999074
4	3.2965522
5	3.068403
6	2.9198909
7	2.8198106
8	2.7239928
9	2.6467938
10	2.608976
11	2.535074
12	2.5131426
13	2.444944
14	2.4076414
15	2.3657904
16	2.3383965
17	2.2963212
18	2.2202692
19	2.1657765
20	2.1806364
21	2.0942137
22	2.082175
23	2.032785
24	2.002862
25	1.9200878
26	1.942306
27	1.8829129
28	1.9196227
29	1.8088576
30	1.8094565
31	1.773103
32	1.729439
33	1.6265893
34	1.6510652
35	1.680182
36	1.6599586
37	1.6101887
38	1.5813829
39	1.5398672
40	1.5782657
41	1.603878
42	1.563743
43	1.5000579
44	1.5409005
45	1.5550584
46	1.5339469
47	1.4291832
48	1.434443
49	1.47452
50	1.4356453
51	1.4163991
52	1.4094094
53	1.41514
54	1.3348277
55	1.314597
56	1.3260634
57	1.3248855
58	1.3196992
59	1.3464353
60	1.3213404
61	1.3401097
62	1.3329428
63	1.2912077
64	1.267832
65	1.2908618
66	1.2768016
67	1.2461168
68	1.2237861
69	1.2801598
70	1.2041919
71	1.2492074
72	1.2703857
73	1.1810412
74	1.2537163
75	1.2140695
76	1.1716937
77	1.1396182
78	1.1633656
79	1.2350351
80	1.1741419
81	1.2047642
82	1.205771
83	1.2022208
84	1.1449397
85	1.1209776
86	1.157289
87	1.2019346
88	1.1657406
89	1.1327884
90	1.1433439
91	1.201571
92	1.1558846
93	1.1291044
94	1.1647513
95	1.1182945
96	1.1339211
97	1.1363298
98	1.1177539
99	1.1865731
100	1.0877059
101	1.0877044
102	1.1450877
103	1.1405553
104	1.1805341
105	1.0709457
106	1.1317176
107	1.120747
108	1.1016425
109	1.0496763
110	1.099939
111	1.1205974
112	1.0316664
113	1.1528733
114	1.0453321
115	1.0143886
116	1.1044558
117	1.048016
118	1.1005272
119	1.0664108
120	1.1305683
121	1.1043319
122	1.1565568
123	1.0205525
124	0.99657214
125	1.1000648
126	1.0701177
127	1.052618
128	1.0453111
129	1.0729302
130	1.0855957
131	1.0876809
132	1.0362703
133	1.0112393
134	1.1033827
135	1.072763
136	0.98882973
137	1.022062
138	1.0308871
139	1.0435648
140	1.0023725
141	1.0606763
142	1.0366756
143	1.1751925
144	1.1720215
145	1.144513
146	1.0284238
147	1.0072439
148	0.99889374
149	1.0581533
150	0.96528107
151	0.9983706
152	1.0193471
153	1.0384209
154	1.069598
155	0.9702174
156	1.0424352
157	1.0662329
158	1.0860887
159	0.9733542
160	1.0169244
161	0.9924608
162	1.0731164
163	0.9976816
164	1.0249723
165	1.0138441
166	1.0138125
167	1.0006312
168	0.9608594
169	0.97537386
170	0.99993396
171	1.2060125
172	0.92704636
173	0.9849615
174	1.0411599
175	0.97409004
176	0.9687647
177	1.0611792
178	0.9583744
179	0.98054737
180	0.9940217
181	1.0143422
182	1.0200747
183	0.9511865
184	0.9406884
185	0.9611226
186	0.95238525
187	1.058478
188	0.96170926
189	0.96209306
190	0.91211474
191	0.8576117
192	1.0424712
193	0.9528252
194	0.9324332
195	1.0208889
196	0.95866954
197	1.007938
198	1.0026037
199	1.0622517
200	1.0274686
201	0.9899625
202	0.9765177
203	0.95973134
204	0.9632798
205	1.0326701
