epoch_idx	Accuracy	F1-score	Confusion_matrix
25	0.2904761904761905	0.1446637778847697	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [126   0   0   0 114   0]
 [ 24   0   0   0 240   0]
 [186   0   0   0  54   0]]"
26	0.2904761904761905	0.1446637778847697	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [126   0   0   0 114   0]
 [ 24   0   0   0 240   0]
 [186   0   0   0  54   0]]"
27	0.2904761904761905	0.14421997755331087	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [126   0   0   0 114   0]
 [ 24   0   0   0 240   0]
 [180   0   0   0  60   0]]"
28	0.2904761904761905	0.14421997755331087	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [126   0   0   0 114   0]
 [ 24   0   0   0 240   0]
 [180   0   0   0  60   0]]"
29	0.2904761904761905	0.14421997755331087	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [126   0   0   0 114   0]
 [ 24   0   0   0 240   0]
 [180   0   0   0  60   0]]"
30	0.2904761904761905	0.14379084967320263	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [126   0   0   0 114   0]
 [ 24   0   0   0 240   0]
 [174   0   0   0  66   0]]"
31	0.2904761904761905	0.14379084967320263	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [126   0   0   0 114   0]
 [ 24   0   0   0 240   0]
 [174   0   0   0  66   0]]"
32	0.2904761904761905	0.14379084967320263	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [126   0   0   0 114   0]
 [ 24   0   0   0 240   0]
 [174   0   0   0  66   0]]"
33	0.2904761904761905	0.14337623255218337	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [120   0   0   0 120   0]
 [ 24   0   0   0 240   0]
 [174   0   0   0  66   0]]"
34	0.2904761904761905	0.1429759733819624	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 24   0   0   0 240   0]
 [174   0   0   0  66   0]]"
35	0.2904761904761905	0.1429759733819624	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 24   0   0   0 240   0]
 [174   0   0   0  66   0]]"
36	0.29523809523809524	0.14498800959232613	"[[126   0   0   0  84   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 18   0   0   0 246   0]
 [174   0   0   0  66   0]]"
37	0.2904761904761905	0.1423617769255353	"[[120   0   0   0  90   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 18   0   0   0 246   0]
 [174   0   0   0  66   0]]"
38	0.2904761904761905	0.1423617769255353	"[[120   0   0   0  90   0]
 [102   0   0   0  48   0]
 [156   0   0   0   0   0]
 [114   0   0   0 126   0]
 [ 18   0   0   0 246   0]
 [174   0   0   0  66   0]]"
